cameraSN ,cameraModel, cameraName ,nBits, gain_dB, measuredG 

"40335410",acA1440-220um, Menachem,12,16,2.3427
"40335410",acA1440-220um, Menachem,12,20,3.7251
"40335410",acA1440-220um, Menachem,12,24,5.8617
"40335410",acA1440-220um, Menachem,8,16,0.146
"40335401",acA1440-220um, Vika    ,8,0,0.0238
"40513592",a2A1920-160umPRO, Nadav06 ,10,16,0.5831446648063
"40513592",a2A1920-160umPRO, Nadav06 ,10,18,0.732088235234811
"40513592",a2A1920-160umPRO, Nadav06 ,10,20,0.920986881323515
"40513592",a2A1920-160umPRO, Nadav06 ,12,8,0.931317527287469
"24828238",Unknown, Tomoya,12,24,5.8313
"24828238",Unknown, Tomoya,8,36,1.4686876
"40075248",a2A1920-160umPRO, Lavi, 12,8,0.95415061637498
